company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
Perupetro,PER,2015-01-01,0.351710275,751.8080323,1383.618485,264.1802642,646.4390883,415.4747193,79.01359735,404.6144085,651.2823272,0,0.347313896
Perupetro,PER,2016-01-01,0.119405228,709.3461669,843.4980893,187.4825047,134.629247,386.738128,96.31024252,400.0312187,228.8310835,0,0
Perupetro,PER,2017-01-01,0.133722294,734.2724891,1048.136808,250.1017876,320.3980026,410.3756243,132.8236555,461.1453174,318.40842339999995,0,0.612791613
Petroamazonas,ECU,2011-01-01,,,,,,,,,,,
Petroamazonas,ECU,2012-01-01,,450.75,5083.729,,4130.96,,,,,,
Petroamazonas,ECU,2013-01-01,,1282.96,11365.58,,9147.98,,,,,,
Petroamazonas,ECU,2014-01-01,,1367.45,11213.12,,8645.23,,,,,,
Petroamazonas,ECU,2015-01-01,,,,,,,,,,,
Petroamazonas,ECU,2016-01-01,,,,,,,,,,,
Petroamazonas,ECU,2017-01-01,,1065,,,,,,,,,
Petrobangla,BGD,2011-01-01,,,,,,,,,562.1126221,9.628818487,149.02956609999995
Petrobangla,BGD,2012-01-01,,,,,,,,,554.3834138999998,12.22291116,114.5687202
Petrobangla,BGD,2013-01-01,,,914.4109716,909.0405666,,,,,715.2815117,17.98517052,182.543015
Petrobangla,BGD,2014-01-01,,236.9,937.193556,932.1664745,700.2890434,739.8050472,735.659623,97.11300864,692.663891,19.95198224,152.6788379
Petrobangla,BGD,2015-01-01,,259.09,1038.722489,1031.741296,779.6294672,723.5685105,719.6486745,100.211286,795.9520309999997,3.149579698,121.5147618
Petrobangla,BGD,2016-01-01,,618.47,1319.334274,1308.564305,700.8670641,844.5108364,839.8063978,594.8299900000002,956.2904185,4.388863661,197.3691822
Petrobangla,BGD,2017-01-01,,,,0,,,,,,,
Petrobras,BRA,2011-01-01,54565,108224,146423,145915,26648,316414,64592,143826,26175.77479,,6732
Petrobras,BRA,2012-01-01,51921,111982,144923,144103,16419,327396,57794,165530,21515.8815,,3562
Petrobras,BRA,2013-01-01,58298,113993,142161,141462,-6957,321423,52655,171227,19146.24,,2578
Petrobras,BRA,2014-01-01,47831,136804,144144,143657,-7189,298687,50832,181709,15840.22,,0
Petrobras,BRA,2015-01-01,33244,89656,98158,97314,-18189,230521,43428,164466,8860,,0
Petrobras,BRA,2016-01-01,28050,71928,84767,81405,-11420,246983,44769,169433,6277,,684
Petrobras,BRA,2017-01-01,26946,69942,92374,88827,-7898,251366,47131,169864,11722,,1828
